weight_size_before_noise_encryption,weight_size_after_noise_encryption,weight_size_decryption
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
10209872,10209872,40
