Epoch,Total Time (seconds),Model Distribution Time (seconds),Encryption Time (seconds),Aggregation Time (seconds),Decryption Time (seconds)
1,26.69,0.01,3.73,0.50,1.06
2,25.06,0.01,6.69,0.36,1.04
3,24.30,0.01,6.89,0.22,1.04
4,24.67,0.01,3.63,0.17,1.02
5,24.41,0.01,3.64,0.16,1.04
6,25.39,0.01,3.52,0.14,1.05
7,24.13,0.01,3.63,0.07,1.05
8,24.51,0.01,6.93,0.08,1.07
9,24.85,0.01,6.92,0.06,1.07
10,26.66,0.01,3.55,0.08,1.07
11,24.60,0.01,3.55,0.06,1.05
12,24.56,0.01,3.35,0.06,1.04
13,24.33,0.02,3.63,0.06,1.04
14,24.51,0.02,6.98,0.06,1.03
15,24.55,0.01,6.85,0.06,1.07
16,24.80,0.02,3.47,0.09,1.06
17,25.03,0.02,3.52,0.07,1.07
18,24.53,0.02,3.37,0.06,1.05
19,24.50,0.01,3.75,0.07,1.06
20,24.62,0.01,5.70,0.09,1.06
