pow_memory,route_memory,noise_memory,key_gen_memory,encryption_memory,decryption_memory,aggregation_memory,update_memory
-2609152,-200704,-1265664,189001728,503457109.3333333,5361664,84510720,0
-3534848,-724992,-1474560,110977024,-7251968,-8454144,-236885.33333333334,0
-131072,-495616,-1503232,-827392,-6516053.333333333,-10510336,-327680,0
-512000,-438272,-241664,7061504,-10428416,-41205760,168878080,0
-503808,-389120,-1437696,7491584,-9218730.666666666,-24178688,781653.3333333334,0
6639616,-491520,-1470464,-4001792,12239530.666666666,-41578496,488106.6666666667,0
1323008,11407360,-1441792,11624448,-10859178.666666666,-27467776,-6144,0
4591616,-454656,-1499136,-2318336,-31330986.666666668,-36605952,1014442.6666666666,0
-2338816,-487424,-1445888,-3788800,-2180437.3333333335,-49917952,-30037.333333333332,0
-364544,-356352,-1499136,704512,-3072000,-20045824,555690.6666666666,0
13697024,-471040,-1458176,-2957312,-221184,-8077312,1292970.6666666667,0
-1224704,-409600,-1511424,5992448,-21634389.333333332,-11849728,-15701.333333333334,0
2576384,-348160,-1802240,0,-11741184,-5255168,-3413.3333333333335,0
-20480,11911168,-1634304,5611520,-12393130.666666666,-33619968,-3811328,0
3952640,-442368,-1515520,-450560,-20981760,-20750336,-21845.333333333332,-8192
19763200,-405504,-1507328,200704,-1998848,-17031168,-79872,0
-5373952,-466944,-28672,-2191360,76957696,14299136,24592384,4096
12910592,-180224,-1482752,15519744,-64371370.666666664,-40058880,545450.6666666666,-24576
-1236992,-385024,1536000,12423168,6716757.333333333,2125824,-363861.3333333333,0
-200704,-53248,-1519616,-589824,-4356778.666666667,3887104,682666.6666666666,0
