pow_memory,route_memory,noise_memory,key_gen_memory,encryption_memory,decryption_memory,aggregation_memory,update_memory
294912,405504,131072,189394944,517289472,3399680,63625728,0
61440,237568,0,104587264,-8737280,-5267456,3584,0
28672,172032,20480,368640,-7749632,-19709952,63621632,0
45056,184320,0,229376,-13363200,-18612224,270336,0
24576,225280,0,221184,-13336064,-13627392,389632,0
45056,217088,0,233472,-11248640,-36827136,-1326592,0
24576,221184,0,245760,-10650624,-4141056,0,0
24576,176128,0,225280,310514176,-57827328,365672448,0
61440,208896,0,229376,-13204992,-6742016,262656,0
49152,176128,0,233472,-11150848,-22167552,0,0
57344,212992,0,208896,-15161344,-6356992,-3584,0
45056,172032,0,225280,-14990848,-13737984,-2428416,0
40960,180224,0,217088,-17233920,-13795328,-992256,0
65536,217088,0,221184,-8011264,-7602176,0,0
24576,167936,0,229376,-18094592,-35946496,1163776,0
28672,172032,0,335872,-14530560,-44326912,1312768,0
28672,147456,0,229376,-14071296,-30875648,-984576,0
61440,208896,0,221184,-10235392,-45187072,-1154560,0
28672,217088,0,241664,-15930368,-11259904,77824,0
40960,159744,0,229376,-10988544,-51339264,0,0
