pow_memory,route_memory,noise_memory,key_gen_memory,encryption_memory,decryption_memory,aggregation_memory,update_memory
114688,118784,77824,189173760,345382092.8,3747840,86196224,0
49152,221184,0,103247872,474316.8,1310720,-19660.8,0
53248,114688,0,237568,86138880,606208,86195404.8,0
28672,147456,0,225280,-100761.6,724992,-44236.8,0
24576,90112,0,233472,-85196.8,204800,0,0
24576,159744,8192,245760,-104857.6,-409600,0,0
24576,102400,0,249856,-72908.8,-561152,0,0
28672,122880,0,225280,-120422.4,237568,10649.6,0
24576,122880,0,237568,-17203.2,-495616,-47513.6,0
24576,98304,0,225280,-111411.2,122880,819.2,0
24576,118784,0,229376,-181862.4,-126976,0,0
40960,163840,0,229376,-86835.2,-446464,-213811.2,0
49152,163840,0,606208,-117964.8,-491520,0,0
24576,98304,0,241664,-115507.2,-360448,1638.4,0
24576,118784,4096,229376,-56524.8,-630784,0,0
45056,114688,0,237568,-103219.2,-331776,-47513.6,0
24576,118784,0,229376,-137625.6,-741376,0,0
28672,143360,0,229376,-113868.8,16384,819.2,0
24576,122880,0,225280,-113049.6,-413696,0,0
24576,114688,0,221184,-140083.2,-253952,-22118.4,0
